# observed, predict
35.0000,32.9080
45.0000,44.1236
48.0000,47.0537
46.0000,45.1313
49.0000,48.2107
33.0000,32.0455
35.0000,32.6908
36.0000,33.4101
34.0000,31.7294
40.0000,38.0470
41.0000,39.1024
43.0000,40.7938
46.0000,43.7145
51.0000,48.5807
37.0000,34.0644
26.0000,25.7441
27.0000,25.5196
23.0000,22.9863
28.0000,26.3705
22.0000,22.7470
23.0000,22.9935
28.0000,27.6304
22.0000,25.0414
21.0000,24.0773
22.0000,24.2319
22.0000,24.0207
22.0000,23.5388
24.0000,24.4407
27.0000,27.1867
22.0000,23.9623
24.0000,24.7466
22.0000,23.8241
18.0000,21.1208
20.0000,21.7889
28.0000,28.3217
28.0000,28.5188
26.0000,25.9626
22.0000,22.1976
24.0000,22.8964
20.0000,20.4121
20.0000,20.0669
16.0000,17.5962
22.0000,20.8775
23.0000,22.3341
17.0000,18.6186
19.0000,18.8954
13.0000,15.7591
21.0000,19.5963
28.0000,26.1594
18.0000,20.2052
24.0000,22.6435
18.0000,19.0055
26.0000,23.7462
28.0000,26.0043
27.0000,25.3442
28.0000,26.4902
31.0000,29.1551
38.0000,35.4064
48.0000,44.7825
59.0000,53.8728
64.0000,57.5266
41.0000,34.1940
28.0000,25.0107
16.0000,18.1035
22.0000,20.3746
20.0000,19.7669
21.0000,20.2031
22.0000,21.2755
17.0000,18.2518
28.0000,26.1103
14.0000,18.1016
18.0000,17.9425
17.0000,17.7316
17.0000,17.6962
19.0000,19.3965
28.0000,26.6386
17.0000,20.1865
21.0000,21.2800
23.0000,23.2517
25.0000,25.9605
27.0000,28.4455
25.0000,26.7736
29.0000,28.6384
26.0000,25.4675
29.0000,26.8346
32.0000,28.9185
26.0000,24.7976
25.0000,23.5277
21.0000,20.8583
20.0000,19.8382
18.0000,18.4068
19.0000,18.9245
21.0000,19.8223
18.0000,18.4369
11.0000,14.5506
9.0000,12.3334
8.0000,11.0759
12.0000,12.9438
16.0000,15.7838
21.0000,20.2352
28.0000,26.6892
34.0000,32.4542
31.0000,29.3770
28.0000,26.5196
25.0000,24.0741
32.0000,29.5343
38.0000,35.9287
43.0000,40.5291
44.0000,40.5456
42.0000,38.1056
44.0000,39.9331
33.0000,29.7536
21.0000,21.3953
12.0000,15.7263
15.0000,15.4535
13.0000,14.2386
14.0000,14.1848
11.0000,12.5105
15.0000,14.4564
13.0000,14.1037
14.0000,15.0450
9.0000,12.9542
19.0000,18.2436
9.0000,13.8749
19.0000,18.2035
17.0000,18.1489
24.0000,23.5371
23.0000,24.0996
31.0000,30.7893
31.0000,31.1171
38.0000,37.3151
40.0000,38.5778
36.0000,33.7704
27.0000,25.5728
38.0000,34.1345
41.0000,36.7107
